ObjectIDregion0,TimestampRegion0,ObjectIDregion1,TimestampRegion1
1,26.52306542345854,11.0,90.17842243975903
3,30.893532807701394,26.0,289.485080099811
4,82.33827102527758,37.0,407.32088774214503
5,86.37511494507442,47.0,592.5152728561304
7,86.50856433085282,48.0,598.3536834839357
8,89.344363778644,50.0,613.7003628484526
9,89.87816132175762,51.0,614.6011462024569
12,90.24514713264824,68.0,942.4195623671155
13,95.44967317800614,77.0,1107.6966266536735
14,96.61735530356721,79.0,1108.3305112361209
15,101.28808380581148,81.0,1116.037213264824
16,141.85669708244743,83.0,1119.2066361770612
17,158.87149376919442,96.0,1255.158197938814
19,223.46099648594378,103.0,1358.1143990668556
20,247.01481307583273,114.0,1489.2951452870304
21,248.91646682317506,,
23,260.3597516536735,,
25,286.31565718757383,,
27,290.18568937514766,,
29,293.28838759449565,,
31,295.05659195605955,,
32,296.2576364280652,,
33,323.38122408752656,,
34,329.9536063371132,,
35,330.6208532660052,,
36,375.7601080055516,,
38,414.29361814906684,,
39,432.2091981898181,,
40,432.80972042582096,,
42,436.11259272383654,,
43,542.8053766536735,,
44,588.5451536292228,,
45,589.6461110618947,,
46,590.7137061481219,,
49,610.0972294324356,,
52,656.8045144548784,,
53,661.108257146232,,
54,662.6095627362391,,
55,687.2643367587999,,
56,793.2565114133002,,
59,801.0299381348925,,
60,816.1097187278526,,
61,822.782188016773,,
62,828.7874103768013,,
63,831.4563980923695,,
64,832.9910660288211,,
65,884.135543128396,,
66,890.1741278348688,,
67,939.8840240373257,,
69,944.1210420357902,,
70,945.8558840509095,,
71,947.3905519873612,,
72,952.3281792611623,,
73,963.7047393987716,,
74,1056.8524106721002,,
75,1075.3351506024096,,
76,1105.1277259774392,,
78,1107.996887771675,,
80,1111.7001082270258,,
82,1116.5710108079377,,
85,1132.7851111800142,,
87,1153.7033024007796,,
88,1167.2817774037326,,
89,1175.3554652433263,,
90,1182.7619061540279,,
91,1183.7294142009214,,
92,1184.6969222478149,,
93,1212.3209451039452,,
94,1252.4558478768013,,
95,1254.5910380492558,,
97,1271.839371161115,,
98,1292.4239389174345,,
99,1295.3598254045594,,
100,1318.0462209868888,,
101,1354.1109174935034,,
102,1356.079295933735,,
104,1360.6165750502007,,
107,1434.7143465036618,,
108,1438.9513645021261,,
110,1483.223198234113,,
111,1488.3609995865816,,
112,1488.828072436806,,
115,1489.9957545623672,,
116,1491.6305095381526,,
117,1502.2730980539807,,
