ObjectIDregion0,TimestampRegion0,ObjectIDregion1,TimestampRegion1
1,0.0,11.0,102.6229096427546
2,6.605765965300849,14.0,104.59129445059678
3,88.01015462860424,22.0,140.85628235101103
4,92.18046142488004,33.0,236.906788482835
5,94.1488462327222,,
6,96.45085558426644,,
7,99.28666420573397,,
10,101.08823674172511,,
12,103.1900713670481,,
13,104.22430745252451,,
15,105.29190599237111,,
17,119.63776137155982,,
18,121.27252163569993,,
19,124.57540461835036,,
21,137.78693654895204,,
23,145.19340141913784,,
24,171.74991509782208,,
25,173.58485008818343,,
26,174.95271071736187,,
28,176.55410852713177,,
30,205.97979328165374,,
31,230.46783478938517,,
32,236.50643903039253,,
35,239.6091472868217,,
36,241.41071982281284,,
