ObjectIDregion0,TimestampRegion0,ObjectIDregion1,TimestampRegion1
1,0.0,10.0,102.6229096427546
2,6.605765965300849,13.0,104.59129445059678
3,88.01015462860424,21.0,140.85628235101103
4,92.18046142488004,30.0,236.906788482835
5,94.1488462327222,,
6,96.45085558426644,,
7,99.28666420573397,,
9,101.08823674172511,,
11,103.1900713670481,,
12,104.22430745252451,,
14,105.29190599237111,,
16,119.63776137155982,,
17,121.27252163569993,,
18,124.57540461835036,,
20,137.78693654895204,,
22,145.19340141913784,,
23,171.74991509782208,,
24,173.58485008818343,,
25,174.95271071736187,,
27,205.97979328165374,,
28,230.46783478938517,,
29,236.50643903039253,,
32,239.6091472868217,,
33,241.41071982281284,,
