ObjectIDregion0,TimestampRegion0,ObjectIDregion1,TimestampRegion1
70,821.853955554755,,
71,825.6878515830203,,
72,836.2227311041668,,
73,838.1896864577986,,
74,905.2328596129427,,
75,918.8348559567014,,
76,921.6352669686518,,
78,930.5365733994938,,
80,939.3378651513377,,
81,940.8714235626438,,
82,941.3048205049695,,
83,951.2062737257938,,
84,988.3783960868012,,
88,1024.9170921474863,,
89,1025.9839153901341,,
90,1035.8520303846258,,
91,1047.2537037904235,,
92,1049.8874236707102,,
93,1050.5875264236977,,
94,1051.0542615923562,,
95,1051.7877025716764,,
96,1061.1557441711768,,
98,1164.7709516133389,,
99,1190.5080623422157,,
104,1252.3171339631194,,
105,1257.8846177606872,,
106,1261.0517492622978,,
107,1268.8862324504921,,
108,1269.9530556931397,,
109,1272.253393310099,,
110,1290.1893590771142,,
111,1292.6230495994043,,
112,1298.8906361499598,,
113,1310.6590300454177,,
117,1354.4987976729735,,
118,1362.6666631244952,,
119,1364.8336478361234,,
120,1369.8677200123675,,
121,1403.9393873244298,,
122,1408.0399891633572,,
123,1410.0069445169888,,
124,1410.5736943646455,,
125,1469.6156931999315,,
126,1494.6527011758208,,
127,1523.1902229166478,,
128,1527.6575452452353,,
130,1528.1576186402265,,
132,1532.6916174214794,,
133,1538.2257629927144,,
134,1539.692644951355,,
135,1586.6995440805213,,
137,1592.2336896517565,,
138,1593.1338217627406,,
142,1595.4674976060323,,
144,1596.7676884330094,,
145,1598.9680113709703,,
146,1646.041586952802,,
147,1655.109584515308,,
148,1673.945682393307,,
149,1708.050687931702,,
150,1709.7842757010046,,
151,1712.3513191286258,,
152,1717.1520237205407,,
153,1727.4535356573579,,
154,1746.9897362883446,,
155,1775.2272139921772,,
156,1776.8607870824815,,
157,1812.0326158635244,,
158,1814.6663357438108,,
159,1835.3360360701108,,
160,1838.5031675717214,,
161,1858.3727504660355,,
162,1864.2069400742655,,
163,1886.8769339805299,,
164,1886.9769486595283,,
165,1887.6103749598503,,
168,1895.778240411372,,
169,1917.9814991489782,,
170,1922.515497930231,,
171,1924.9158502261885,,
172,1938.3844936646162,,
173,1947.4524912271222,,
174,1949.0860643174265,,
175,1955.6870331313094,,
176,1957.954032521936,,
177,1977.2235273422607,,
178,2035.33205584023,,
179,2035.8321292352211,,
181,2037.8657610415185,,
182,2039.2326283211607,,
183,2074.437795328536,,
184,2075.104559855191,,
187,2078.2716913568015,,
188,2079.638558636444,,
189,2085.572762923672,,
191,2147.348496318243,,
192,2148.3153048818926,,
193,2150.0822308775278,,
194,2153.6494210951314,,
195,2155.0496266011064,,
197,2155.2829941854357,,
198,2158.216758102717,,
199,2169.985151998175,,
201,2225.3266077105263,,
202,2252.130541682051,,
203,2253.564085414359,,
204,2255.6310554469887,,
206,2262.5654065241993,,
208,2280.768078101876,,
209,2281.468180854864,,
210,2283.101753945168,,
211,2283.135092171501,,
212,2284.4352829984778,,
213,2298.303985152899,,
215,2340.14345920049,,
216,2374.515170549547,,
218,2374.748538133876,,
219,2375.948714281855,,
220,2409.9203669149188,,
223,2411.6206164578884,,
224,2422.9889516373537,,
225,2425.922715554635,,
227,2461.5946177306687,,
230,2463.4282201789697,,
231,2464.8617639112776,,
233,2484.2646116369333,,
234,2488.7652721918535,,
235,2490.3321688294923,,
236,2501.4671364246283,,
237,2503.900826946918,,
238,2523.1369835409105,,
239,2524.670541952217,,
242,2555.9084600259957,,
243,2558.308812321953,,
245,2582.779070450186,,
246,2583.2124673925114,,
247,2584.179275956161,,
248,2645.021539013415,,
249,2653.2227426912696,,
250,2697.1958632241563,,
251,2720.2992540727464,,
252,2741.6357189257014,,
253,2746.2697323859525,,
254,2780.741458414008,,
256,2793.3099697414514,,
257,2794.9768810580886,,
258,2795.943689621738,,
259,2797.1772039960497,,
263,2800.977761797982,,
264,2823.981137967574,,
265,2863.420259719208,,
266,2928.396462841722,,
268,2930.163388837357,,
270,2956.7339552245526,,
275,2968.302319762014,,
276,3004.9076922753648,,
277,3034.6787283905032,,
278,3040.346226867069,,
280,3092.5538893041435,,
281,3103.9222244836083,,
282,3105.289091763251,,
283,3106.956003079888,,
284,3107.322723569548,,
285,3140.8609792602865,,
286,3144.128125440895,,
287,3146.7951835475146,,
288,3179.5666600326,,
290,3225.3400447874546,,
291,3318.78709319813,,
293,3338.8900436767735,,
294,3340.5236167670782,,
295,3341.8904840467203,,
296,3344.19082166368,,
298,3352.558716473198,,
299,3354.5590100531626,,
300,3371.961564198854,,
301,3378.8292388233986,,
303,3381.262929345689,,
304,3470.742728822768,,
305,3472.476316592071,,
307,3514.2491141869964,,
308,3565.323276928757,,
309,3579.0586261778467,,
310,3580.2588023258254,,
313,3643.3347265473735,,
316,3645.6017259379996,,
318,3646.9352549913096,,
